20:33:47  |  Core  |  Info  |  FactoryManager successfully initialized  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  27
20:33:47  |  Core  |  Info  |  * Initialise: ToolTipManager  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  33
20:33:47  |  Core  |  Info  |  ToolTipManager successfully initialized  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  45
20:33:47  |  Core  |  Info  |  Gui successfully initialized  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_Gui.cpp  |  111
20:33:48  |  Core  |  Info  |  Load ini file 'skins.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'core.skin'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_resources.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_font.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'MonoFont' using texture size 256 x 128.  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  769
20:33:48  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'MonoFont' using real height 14 pixels.  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  770
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_text.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_windows.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_button.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_list.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_edit.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_box.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_progress.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_hud_energybar.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_hud_box.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_mainmenu.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_console.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_journal.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_map_window.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
